run_accession	sample_accession	sample_alias	experiment_accession	experiment_title	library_name	library_layout	instrument_model
SRR18595760	SAMN27258482	OSCC81_S040	SRX14725880	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S040_L001	PAIRED	Illumina MiSeq
SRR18595762	SAMN27258481	OSCC81_S039	SRX14725876	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S039_L001	PAIRED	Illumina MiSeq
SRR18595764	SAMN27258479	OSCC81_S037	SRX14725872	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S037_L001	PAIRED	Illumina MiSeq
SRR18595770	SAMN27258473	OSCC81_S031	SRX14725860	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S031_L001	PAIRED	Illumina MiSeq
SRR18595771	SAMN27258472	OSCC81_S030	SRX14725858	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S030_L001	PAIRED	Illumina MiSeq
SRR18595772	SAMN27258454	OSCC81_S012	SRX14725856	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S012_L001	PAIRED	Illumina MiSeq
SRR18595773	SAMN27258471	OSCC81_S029	SRX14725854	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S029_L001	PAIRED	Illumina MiSeq
SRR18595775	SAMN27258469	OSCC81_S027	SRX14725850	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S027_L001	PAIRED	Illumina MiSeq
SRR18595776	SAMN27258468	OSCC81_S026	SRX14725848	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S026_L001	PAIRED	Illumina MiSeq
SRR18595778	SAMN27258466	OSCC81_S024	SRX14725844	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S024_L001	PAIRED	Illumina MiSeq
SRR18595779	SAMN27258465	OSCC81_S023	SRX14725842	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S023_L001	PAIRED	Illumina MiSeq
SRR18595783	SAMN27258520	OSCC81_S078	SRX14725834	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S078_L001	PAIRED	Illumina MiSeq
SRR18595784	SAMN27258519	OSCC81_S077	SRX14725832	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S077_L001	PAIRED	Illumina MiSeq
SRR18595785	SAMN27258518	OSCC81_S076	SRX14725830	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S076_L001	PAIRED	Illumina MiSeq
SRR18595790	SAMN27258513	OSCC81_S071	SRX14725820	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S071_L001	PAIRED	Illumina MiSeq
SRR18595791	SAMN27258512	OSCC81_S070	SRX14725818	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S070_L001	PAIRED	Illumina MiSeq
SRR18595792	SAMN27258458	OSCC81_S016	SRX14725816	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S016_L001	PAIRED	Illumina MiSeq
SRR18595796	SAMN27258508	OSCC81_S066	SRX14725808	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S066_L001	PAIRED	Illumina MiSeq
SRR18595797	SAMN27258507	OSCC81_S065	SRX14725806	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S065_L001	PAIRED	Illumina MiSeq
SRR18595798	SAMN27258506	OSCC81_S064	SRX14725804	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S064_L001	PAIRED	Illumina MiSeq
SRR18595799	SAMN27258505	OSCC81_S063	SRX14725802	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S063_L001	PAIRED	Illumina MiSeq
SRR18595801	SAMN27258503	OSCC81_S061	SRX14725798	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S061_L001	PAIRED	Illumina MiSeq
SRR18595803	SAMN27258457	OSCC81_S015	SRX14725794	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S015_L001	PAIRED	Illumina MiSeq
SRR18595804	SAMN27258501	OSCC81_S059	SRX14725792	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S059_L001	PAIRED	Illumina MiSeq
SRR18595808	SAMN27258497	OSCC81_S055	SRX14725784	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S055_L001	PAIRED	Illumina MiSeq
SRR18595811	SAMN27258494	OSCC81_S052	SRX14725778	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S052_L001	PAIRED	Illumina MiSeq
SRR18595814	SAMN27258462	OSCC81_S020	SRX14725772	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S020_L001	PAIRED	Illumina MiSeq
SRR18595819	SAMN27258513	OSCC81_S071	SRX14725762	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S071_L001	PAIRED	Illumina MiSeq
