genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects
g__Anaerococcus	3	2	1	3	0	up	1	1	2	1	2	0.0172614	0.186963	0.186963	0.0944	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(GG+0.351)
g__Mycobacterium	3	2	1	3	0	up	1	1	2	2	2	0.0057271	0.0962479	0.0962479	0.0871	666746(SILVA*+0.13);822685(SILVA*+0.0836);813034(GG+0.0746)
g__Finegoldia	3	2	1	3	0	up	1	1	2	3	2.5	0.0388238	0.154691	0.154691	0.0773	666746(SILVA*+0.0911);822685(SILVA*+0.0912);813034(GG+0.282)
g__Dietzia	3	2	1	3	0	up	1	1	2	2	2	0.000566597	0.156978	0.156978	0.0691	666746(SILVA*+0.171);822685(SILVA*+0.0746);813034(GG+0.225)
g__Lysinibacillus	3	2	1	3	0	up	1	1	2	3	2.5	0.00541194	0.213118	0.213118	0.0671	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(GG+0.421)
g__Aerococcus	3	2	1	3	0	up	1	1	2	2	2	0.0230813	0.165309	0.165309	0.0571	666746(SILVA*+0.13);822685(SILVA*+0.0836);813034(GG+0.282)
g__Ralstonia	3	2	1	3	0	up	1	1	2	2	2	0.0179546	0.13693	0.13693	0.0486	666746(SILVA*+0.111);822685(SILVA*+0.0912);813034(GG+0.209)
g__Gordonia	3	2	1	3	0	up	1	1	2	2	2	0.000609771	0.100047	0.100047	0.0421	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(GG+0.0746)
g__Sphingobium	3	2	1	3	0	up	1	1	2	2	2	0.0179546	0.147889	0.147889	0.0391	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(GG+0.225)
g__Legionella	3	2	1	3	0	up	1	1	2	2	2	0.000286364	0.175043	0.175043	0.0303	666746(SILVA*+0.152);822685(SILVA*+0.0912);813034(GG+0.282)
g__Variovorax	3	2	1	3	0	up	1	1	2	1	2	8.87297e-05	0.100441	0.100441	0.0221	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(GG+0.0746)
g__Fluviicola	3	2	1	3	0	up	1	1	2	2	2	8.87297e-05	0.145177	0.145177	0.0178	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(GG+0.209)
g__Bradyrhizobium	3	2	1	3	0	up	1	1	2	2	2	0.000403338	0.147178	0.147178	0.0137	666746(SILVA*+0.142);822685(SILVA*+0.0746);813034(GG+0.225)
g__Lentimicrobium	2	2	0	2	0	up	1	1	2	2	2	0.0388238	0.199935	0.199935	0.2948	666746(SILVA*+0.171);822685(SILVA*+0.229);813034(NA)
g__[Eubacterium]_yurii_group	2	2	0	2	0	up	1	1	2	1	2	0.0388238	0.153948	0.153948	0.2161	666746(SILVA*+0.139);822685(SILVA*+0.169);813034(NA)
g__Family_XIII_UCG-001	2	2	0	2	0	up	1	1	2	2	2	0.0225841	0.158214	0.158214	0.1957	666746(SILVA*+0.185);822685(SILVA*+0.131);813034(NA)
g__Peptoanaerobacter	2	2	0	2	0	up	1	1	2	2	2	0.00323962	0.179712	0.179712	0.1861	666746(SILVA*+0.185);822685(SILVA*+0.174);813034(NA)
g__Alysiella	2	2	0	2	0	up	1	1	2	2	2	0.00323962	0.141406	0.141406	0.1125	666746(SILVA*+0.171);822685(SILVA*+0.112);813034(NA)
g__Streptobacillus	2	2	0	2	0	up	1	1	2	2	2	0.00157225	0.136266	0.136266	0.0685	666746(SILVA*+0.171);822685(SILVA*+0.101);813034(NA)
g__Vulcaniibacterium	2	2	0	2	0	up	1	1	2	2	2	0.0345764	0.121118	0.121118	0.0681	666746(SILVA*+0.151);822685(SILVA*+0.0912);813034(NA)
g__Pseudoramibacter	2	2	0	2	0	up	1	1	2	2	2	0.0176579	0.110861	0.110861	0.067	666746(SILVA*+0.13);822685(SILVA*+0.0912);813034(NA)
g__Novosphingobium	2	2	0	2	0	up	1	1	2	1	2	0.00492534	0.113357	0.113357	0.0612	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(NA)
g__Eggerthia	2	2	0	2	0	up	1	1	2	2	2	0.0188944	0.110861	0.110861	0.0593	666746(SILVA*+0.13);822685(SILVA*+0.0912);813034(NA)
g__Blvii28_wastewater-sludge_group	2	2	0	2	0	up	1	1	2	2	2	0.000803043	0.131816	0.131816	0.0497	666746(SILVA*+0.152);822685(SILVA*+0.112);813034(NA)
g__Gardnerella	2	2	0	2	0	up	1	1	2	1	2	0.00157225	0.108247	0.108247	0.0412	666746(SILVA*+0.142);822685(SILVA*+0.0746);813034(NA)
g__Flexilinea	2	2	0	2	0	up	1	1	2	2	2	0.0388238	0.107067	0.107067	0.0412	666746(SILVA*+0.13);822685(SILVA*+0.0836);813034(NA)
g__Erythrobacter	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.153785	0.153785	0.0381	666746(SILVA*+0.216);822685(SILVA*+0.0912);813034(NA)
g__Christensenellaceae_R-7_group	2	2	0	2	0	up	1	1	2	2	2	0.00367787	0.117875	0.117875	0.0331	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(NA)
g__Lachnospira	2	2	0	2	0	up	1	1	2	2	2	0.00452458	0.112765	0.112765	0.0281	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)
g__Cryptobacterium	2	2	0	2	0	up	1	1	2	2	2	0.00224673	0.112765	0.112765	0.0243	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)
g__UCG-002	2	2	0	2	0	up	1	1	2	2	2	0.00118228	0.117875	0.117875	0.0231	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(NA)
g__Alloscardovia	2	2	0	2	0	up	1	1	2	2	2	0.000390308	0.112765	0.112765	0.0231	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)
g__Family_XIII_AD3011_group	2	2	0	2	0	up	1	1	2	2	2	0.00379532	0.112765	0.112765	0.0231	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)
