genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects	score	tier	rank
g__Aeromonas	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.144782	0.144782	0.0181	666746(SILVA*+0.198);822685(SILVA*+0.0912);813034(NA)	0.713309	C_DADA2_consistent_GGnotdetected	82
g__Alloscardovia	2	2	0	2	0	up	1	1	2	2	2	0.000390308	0.112765	0.112765	0.0231	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)	0.710873	C_DADA2_consistent_GGnotdetected	83
g__Family_XIII_AD3011_group	2	2	0	2	0	up	1	1	2	2	2	0.00379532	0.112765	0.112765	0.0231	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)	0.710873	C_DADA2_consistent_GGnotdetected	84
g__Proteus	2	1	1	2	0	up	1	1	1	2	1.5	0.00157225	0.208392	0.208392	0.055	666746(SILVA*+0.135);822685(NA);813034(GG+0.282)	0.70534	E_SILVA+GG_consistent	85
g__Lachnospiraceae_NK3A20_group	2	2	0	2	0	up	1	1	2	2	2	0.00157225	0.104796	0.104796	0.0181	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(NA)	0.694013	C_DADA2_consistent_GGnotdetected	86
g__Acholeplasma	2	2	0	2	0	up	1	1	2	1	2	0.00157225	0.104796	0.104796	0.0173	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(NA)	0.691942	C_DADA2_consistent_GGnotdetected	87
g__Romboutsia	2	2	0	2	0	up	1	1	2	1	2	0.00157688	0.104796	0.104796	0.0173	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(NA)	0.691942	C_DADA2_consistent_GGnotdetected	88
g__Ottowia	2	2	0	2	0	up	1	1	2	1	2	8.87297e-05	0.122947	0.122947	0.0131	666746(SILVA*+0.171);822685(SILVA*+0.0746);813034(NA)	0.689665	C_DADA2_consistent_GGnotdetected	89
g__Ruthenibacterium	2	2	0	2	0	up	1	1	2	2	2	0.000360936	0.117875	0.117875	0.0131	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(NA)	0.687263	C_DADA2_consistent_GGnotdetected	90
g__Fannyhessea	2	2	0	2	0	up	1	1	2	2	2	0.00140447	0.112765	0.112765	0.0131	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)	0.684843	C_DADA2_consistent_GGnotdetected	91
