genus	SRR18236708	SRR18236719	SRR18236725	SRR18236726	SRR18236727	SRR18236728	SRR18236729	SRR18236730	SRR18236731	SRR18236734	SRR18236735	SRR18236736	SRR18236737	SRR18236738	SRR18236739	SRR18236740	SRR18236741	SRR18236742	SRR18236743	SRR18236744	SRR18236745	SRR18236746	SRR18236752	SRR18236763	SRR18236774	SRR18236785	SRR18236786	SRR18236787	SRR18236788	SRR18236789	SRR18236790	SRR18236791	SRR18236792	SRR18236793	SRR18236794	SRR18236795	SRR18236796	SRR18236797	SRR18236732	SRR18236733
g__Actinomyces	0.020863614	0.03335926	0.12803016	0.0055804279	0.00036731644	0.0036168093	0.00097385885	0.090807007	0.00012105658	0.001095801	2.3328784e-05	0.0003487639	0.011210877	0.0032777963	0.00077568578	0.0017245063	0.050640949	0.01198282	0.010724742	0.012222775	0.013363714	1.1804424e-05	0.0080646755	0.011957711	0.001394373	0.012170876	0.00063593005	0.014439038	0.0043443568	0.0013440363	0.0069640914	0.012335538	0.00089737174	0.015898577	0.0082230402	0.0027718089	0.0075334	0.027183877	0	0
g__Actinomycetospora	0	0	0	0	0	6.8241685e-05	0	0	0	0	0	0	0	0	0.0012869332	0	0	0	0	0	0	0	0	0	0	1.7288177e-05	0	0	0	0	0	0	0	1.3646847e-05	0	0	1.9618229e-05	0	0	0
g__Actinoplanes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9299085e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinopolymorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2887667e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Adlercreutzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00039532723	0.00020051039	0	0.00010372906	0	0	0	0	0.00017805916	0	0	0	0	0	0.00019618229	0	0	0
g__Aerococcus	0	0	0	0	0	0	0	0	1.2105658e-05	0	0	0	0	0	0	0	0	0	1.5656558e-05	0	0	0	3.9532723e-05	0	0	0	0	0	0	0	1.9784351e-05	0	0	0	0	1.271472e-05	0	0	0	0
g__Aeromicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012340456	0	0	0	1.5656558e-05	0	0.00010850106	0	0	0	0	0	0	2.2738642e-05	0.00079794308	0	0	0	0	0	0	0	0	0	0	0
g__Aggregatibacter	0.00022462408	0.0061360297	4.771903e-05	0.00021560744	5.0664336e-05	0.0005186368	0	0.00013475071	1.2105658e-05	0	2.3328784e-05	0	1.2827091e-05	0.00053186884	0	0.0023502121	7.9374529e-05	0.0022753894	0.0011898984	0.0002212267	9.0417548e-05	1.1804424e-05	0.00061275721	0.0014218009	1.3031523e-05	0.00077796795	5.7811823e-05	0.0026149438	0.0014185655	4.9322433e-05	0.00029676526	0.00095836585	0.00043142872	0.0032888901	0.0071266348	0.26142735	0.00066701979	0.00013355187	0	0
g__Agrobacterium	1.3213181e-05	0	0	0	0	0	0	1.4972301e-05	0	4.6629829e-05	0	0	0	0	0	0	0	1.3463843e-05	0	1.8435559e-05	0.00019891861	0	5.9299085e-05	3.6456435e-05	0	3.4576353e-05	0	4.5477284e-05	0.00035464137	0	5.9353052e-05	1.3690941e-05	8.6285744e-05	0	0	3.8144159e-05	5.8854688e-05	0	0	0
g__Agromyces	0	0	0	0	0	0	0	0	0	0	0	0	0.00021806054	0	0	0	0	0	0	0	0	0	0	1.8228217e-05	0	0	0	0	0	0	0	0	0	0	0	1.271472e-05	0	0	0	0
g__Akkermansia	0	0	0	0	0	0	0	0	0	0	0.00011664392	0	0	0	0.0058176433	0	0	0	0	0	0	0	0.29540827	0.2240977	0	0.13073319	0	2.2738642e-05	0	0	0.29563755	0	0	0	0	0	0.23606615	2.4282159e-05	0.0081300813	0
g__Alcanivorax	0	0	0	0	0	0	0	0	0	0	0	0	0.00064135454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alkaliphilus	0	0	0	0	1.2666084e-05	0	0	1.4972301e-05	0	2.3314915e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alkanindiges	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3463843e-05	0	0	0	0	0	0	0	0	0	0	0.00026598103	0	0	0	0	0	0	0	0	0	0	0
g__Allobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9568701e-05	0	0	0	0	0	0	0	0	0
g__Alloiococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4514298e-05	0	0	0	0	0	0	0
g__Amaricoccus	0	8.6422954e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8435559e-05	1.808351e-05	0	0.0012452808	1.8228217e-05	0	0	0	0	0	0	0	0	0	0	0	2.542944e-05	0	0	0	0
