genus	SRR18236708	SRR18236719	SRR18236725	SRR18236726	SRR18236727	SRR18236728	SRR18236729	SRR18236730	SRR18236731	SRR18236734	SRR18236735	SRR18236736	SRR18236737	SRR18236738	SRR18236739	SRR18236740	SRR18236741	SRR18236742	SRR18236743	SRR18236744	SRR18236745	SRR18236746	SRR18236752	SRR18236763	SRR18236774	SRR18236785	SRR18236786	SRR18236787	SRR18236788	SRR18236789	SRR18236790	SRR18236791	SRR18236792	SRR18236793	SRR18236794	SRR18236795	SRR18236796	SRR18236797	SRR18236732	SRR18236733
g__Akkermansia	0	0	0	0	0	0	0	0	0	0	10	0	0	0	330	0	0	0	0	0	0	0	14945	12294	0	7562	0	1	0	0	14943	0	0	0	0	0	12033	2	1	0
g__Alcanivorax	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alkaliphilus	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alkanindiges	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
g__Allobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
g__Alloiococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
g__Amaricoccus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	63	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
g__Ammoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
g__Anabaena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaerobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaerococcus	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
g__Anaeroplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	17	0	13	0	0	0	0	9	0	0	0	0	0	10	0	0	0
g__Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	2	0	0	0	0	4	0	0	0	0	0	2	0	0	0
g__Anaerotruncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	25	0	10	0	0	0	0	27	0	0	0	0	0	26	0	0	0
g__Anaerovorax	0	4	0	0	7	60	26	266	0	0	0	0	0	0	0	79	0	0	0	0	0	0	2	9	0	2	0	19	0	0	0	49	0	0	0	0	3	51	0	0
g__Anoxybacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Aquicella	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Arcanobacterium	1	6	0	0	0	3	0	0	0	2	0	0	0	0	25	1	1	2	1	12	0	0	202	219	0	97	0	0	0	1	249	1	2	0	0	0	233	1	0	0
g__Arsenicicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
g__Arthrobacter	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	7	5	4	0	0	0	2	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0
g__Atopobium	73	25	0	4	3	141	12	32	3	6	4	0	19	61	0	180	431	46	30	7	34	1	23	157	81	18	2	204	2	24	19	2236	2	1	4	1	19	5	0	0
g__Azospirillum	1	17	0	0	6	14	2	4	0	13	0	0	3	0	39	0	0	1	0	7	24	0	0	0	0	0	0	15	44	1	0	1	11	4	0	4	4	0	0	0
